role,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women
,,,,,,,,,,,,,
total adm,,,0,1,1,1,0,5,2,0,1,0,0
2007,Office,Virdee,,,,1,,,,,,,
DSP,Office,Tonelli,,,1,,,,1,,,,
DSP,Office,Cousins,,,,,,,,,,,
Phys,Office,Sphicas,,,,,,,,,1,,
Offline,Office,j. Harvey,,,,,,1,,,,,
Computing,Office,Kasemann,,1,,,,,,,,,
Trigger,Office,Smith,,,,,,,1,,,,
Run,Office,Camporesi,,,,,,1,,,,,
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PUB comm,Office,Rolandi,,,,,,1,,,,,
,,,,,,,,,,,,,
total adm,,,0,0,2,0,0,4,4,0,0,1,1
2010,Office,Tonelli,,,1,,,,,,,,
DSP,Office,Incandela,,,,,,,1,,,,
DSP,Office,De Roeck,,,,,,1,,,,,
Phys,Office,Rolandi,,,,,,1,,,,,
Offline,Office,Sexton Kennedy,,,,,,,1,,,,
Computing,Office,Fisk,,,,,,,1,,,,
Trigger,Office,Smith,,,,,,,1,,,,
Run,Office,Chamizo,,,,,,,,,,1,1
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
Pub comm,Office,Tenchini,,,1,,,,,,,,
,,,,,,,,,,,,,
total adm,,,1,0,2,0,0,3,5,0,1,1,3
2012,Office,Incandela,,,,,,,1,,,,
DSP,Office,Camporesi,,,,,,1,,,,,
DSP,Office,Varela,,,,,,,,,,,
Phys,Office,Landsberg,,,,,,,1,,,,
Offline,Office,Sexton Kennedy,,,,,,,1,,,,1
Computing,Office,Fisk,,,,,,,1,,,,
Trigger,Office,Carlin,,,1,,,,,,,,
Run,Office,Chamizo,,,,,,,,,,1,1
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PPD,Office,Silvestris,,,1,,,,,,,,1
Pub Comm,Office,Sphicas,,,,,,,,,1,,
Upgrade,Office,Spalding,,,,,,,1,,,,
Upgrade,Office,Contardo,1,,,,,,,,,,
,,,,,,,,,,,,,
total adm,,,2,1,0,0,0,6,2,0,1,0,2
2014,Office,Camporesi,,,,,,1,,,,,
DSP,Office,Sphicas,,,,,,,,,1,,
DSP,Office,Borras,,1,,,,,,,,,1
Phys,Office,Malgeri,,,,,,1,,,,,
Offline,Office,Lange,,,,,,,1,,,,
Computing,Office,Girone,,,,,,,,,,,1
Trigger,Office,Carlin,,,,,,1,,,,,
Run,Office,Rakness,,,,,,,1,,,,
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PPD,Office,Cerminara,,,,,,1,,,,,
Pub comm,Office,Hamel de M.,1,,,,,,,,,,
Upgrade,Office,Contardo,1,,,,,,,,,,
,,,,,,,,,,,,,
total adm,,,1,1,0,0,0,7,3,0,1,0,3
2015,Office,Camporesi,,,,,,1,,,,,
DSP,Office,Sphicas,,,,,,,,,1,,
DSP,Office,Borras,,1,,,,,,,,,1
Phys,Office,Malgeri,,,,,,1,,,,,
Phys,Office,Olsen,,,,,,,1,,,,
Offline,Office,Lange,,,,,,,1,,,,
Computing,Office,Girone,,,,,,1,,,,,1
Trigger,Office,Bose,,,,,,,1,,,,1
Run,Office,Schwick,,,,,,1,,,,,
Tech,Office,Ball,,,,,,1,,,,,
Dtech,Office,Zeuner,,,,,,1,,,,,
PPD,Office,Pierini,,,,,,1,,,,,
Upgrade,Office,Contardo,1,,,,,,,,,,
,,,,,,,,,,,,,
total adm,,,1,1,0,0,0,7,3,0,2,0,2
,,,,,,,,,,,,,
2016,Office,Camporesi,,,,,,1,,,,,
