,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Grande Totals:,14,15,32,14,9,45,99,4,37,15,60,21.10%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007,FWD,Grothe,,,,,,,1,,,,1,
,HIN,D'Enterria,,,,,,1,,,,,,
,HIN,Wyslouch,,,,,,,1,,,,,
,QCD,Rabbertz,,1,,,,,,,,,,
,EWK,Tenchini,,,1,,,,,,,,,
,TOP,D'Hondt,,,,,,,,,1,,,
,TOP,Mnich,,1,,,,,,,,,,
,BPH,Langenegger,,,,,1,,,,,,,
,HIG,Nikitenko,,,,1,,,,,,,,
,HIG,Sirois,1,,,,,,,,,,,
,SBM,Eno,,,,,,,1,,,,1,
,SBM,Spiropulu,,,,,,1,,,,,1,
Total 2007,,,1,2,1,1,1,2,3,0,1,0,3,25.00%
2008,FWD,Grothe,,,,,,,1,,,,1,
,HIN,D'Enterria,,,,,,1,,,,,,
,HIN,Kodolova,,,,,,,,1,,,1,
,QCD,Rabbertz,,1,,,,,,,,,,
,QCD,Varelas,,,,,,,1,,,,,
,EWK,Alcaraz,,,,,,,,,1,,,
,EWK,Dasu,,,,,,,1,,,,,
,TOP,Campagnari,,,,,,,1,,,,,
,TOP,D'Hondt,,,,,,,,,,,,
,BPH,Langenegger,,,,,1,,,,,,,
,BPH,Olsen,,,,,,,1,,,,,
,HIG,Mariotti,,,1,,,,,,,,1,
,HIG,Sirois,1,,,,,,,,,,,
,SUS,Buchmuller,,,,,,1,,,,,,
,SUS,Pape,,,,,1,,,,,,,
,EXO,De Roeck,,,,1,,,,,,,,
,EXO,Eno,,,,,,,1,,,,1,
Total 2008,,,1,1,1,1,2,2,6,1,1,0,4,25.00%
2009,FWD,Piotrzkowski,,,,,,,,,1,,,
,HIN,Kodolova,,,,,,,,1,,,1,
,HIN,Roland,,,,,,,1,,,,,
,QCD,Varelas,,,,,,,1,,,,,
,QCD,O'Dell,,,,,,,1,,,,1,
,EWK,Alcaraz,,,,,,,,,1,,,
,EWK,Dasu,,,,,,,1,,,,,
,TOP,Christiansen,,,,,,1,,,,,,
,TOP,Campagnari,,,,,,,1,,,,,
,BPH,Eerola,,,,,,,,,1,,1,
,BPH,Olsen,,,,,,,1,,,,,
,HIG,Korytov,,,,,,,1,,,,,
,HIG,Mariotti,,,1,,,,,,,,1,
,SUS,Buchmuller,,,,1,,,,,,,,
,SUS,Richman,,,,,,,1,,,,,
,EXO,De Roeck,,,,,,1,,,,,,
,EXO,Landsberg,,,,,,,1,,,,,
Total 2009,,,0,0,1,1,0,2,9,1,3,0,4,23.50%
2010,FWD,Piotrzkowski,,,,,,,,,1,,,
,FWD,Jung,,1,,,,,,,,,,
,HIN,Roland,,,,,,,1,,,,,
,HIN,G. de Cassagnac,1,,,,,,,,,,,
,QCD,O'Dell,,,,,,,1,,,,1,
,QCD,Sikler,,,,,,,,,1,,,
,EWK,Hamel de Monche.,1,,,,,,,,,,,
,EWK,Schmitt,,,,,,,1,,,,,
,TOP,Chrstiansen,,,,,,1,,,,,,
,TOP,Schilling,,1,,,,,,,,,,
,BPH,Eerola,,,,,,,,,1,,1,
,BPH,Lourenco,,,,,,1,,,,,,
,HIG,Korytov,,,,,,,1,,,,,
,HIG,Sharma,,,,,,,1,,,,,
,SUS,Richman,,,,,,,1,,,,,
,SUS,Tapper,,,,1,,,,,,,,
,EXO,Landsberg,,,,,,,1,,,,,
,EXO,Hill,,,,1,,,,,,,,
Total 2010,,,2,2,0,2,0,2,7,0,3,0,2,11.10%
2011,FWD,Jung,,1,,,,,,,,,,
,FWD,Van Mechelen,,1,,,,,,,1,,,
,HIN,G. de Cassagnac,1,,,,,,,,,,,
,HIN,Veres,,,,,,1,,,,,,
,QCD,Sikler,,,,,,,,,1,,,
,QCD,Kousuris,,,,,,,1,,,,,
,EWK,Hamel de Monche.,1,,,,,,,,,,,
,EWK,Schmitt,,,,,,,1,,,,,
,TOP,Chierici,1,,,,,,,,,,,
,TOP,Schilling,,1,,,,,,,,,,
,BPH,Chiochia,,,,,1,,,,,,,
,BPH,Lourenco,,,,,,1,,,,,,
,HIG,Sharma,,,,,,,1,,,,,
,HIG,Paus,,,,,,,1,,,,,
,SUS,Stuart,,,,,,,1,,,,,
,SUS,Tapper,,,,1,,,,,,,,
,EXO,Hill,,,,,,,1,,,,,
,EXO,Rahatlou,,,1,,,,,,,,,
Total 2011,,,3,3,1,1,1,2,6,0,2,0,0,0.00%
2012,FWD,D'Enterria,,,,,,1,,,,,,
,FWD,Van Mechelen,,,,,,1,,,1,,,
,HIN,Velkovska,,,,,,,1,,,,1,
,HIN,Veres,,,,,,1,,,,,,
,SMP,Beryhill,,,,,,,1,,,,,
,SMP,Kousuris,,,,,,1,,,,,,
,TOP,Chierici,1,,,,,,,,,,,
,TOP,Tenchini,,,1,,,,,,,,,
,BPH,Chiochia,,,,,1,,,,,,,
,BPH,Woehri,,,,,,1,,,,,1,
,HIG,DeRoeck,,,,,,1,,,,,,
,HIG,Paus,,,,,,,1,,,,,
,SUS,Stuart,,,,,,,1,,,,,
,SUS,Halkiadakis,,,,,,,1,,,,1,
,EXO,Worm,,,,1,,,,,,,,
,EXO,Rahatlou,,,1,,,,,,,,,
Total 2012,,,1,0,2,1,1,6,5,0,1,0,3,17.60%
2013,FWD,D'Enterria,,,,,,1,,,,,,
,FWD,Hollar,,,,,,,,,1,,,
,HIN,Velkovska,,,,,,,1,,,,1,
,HIN,Roland,,,,,,,1,,,,,
,SMP,Beryhill,,,,,,,1,,,,,
,SMP,Gouzevitch,1,,,,,,,,,,,
,TOP,Mulders,,,,,,1,,,,,,
,TOP,Tenchini,,,1,,,,,,,,,
,BPH,Chen,,,,,,,,,,1,,
,BPH,Woehri,,,,,,1,,,,,1,
,B2G,Blekman,,,,,,,,,1,,1,
,B2G,Rappoccio,,,,,,,1,,,,,
,HIG,DeRoeck,,,,,,1,,,,,,
,HIG,Olsen,,,,,,,1,,,,,
,SUS,Wuerthwein,,,,,,,1,,,,,
,SUS,Halkiadakis,,,,,,,1,,,,1,
,EXO,Worm,,,,1,,,,,,,,
,EXO,Chou,,,,,,,1,,,,,
Total 2013,,,1,0,1,1,0,4,8,0,2,1,4,22.20%
2014,FWD,Veres,,,,,,1,,,,,,
,FWD,Hollar,,,,,,,,,1,,,
,HIN,Nguyen,1,,,,,,,,,,,
,HIN,Roland,,,,,,,1,,,,,
,SMP,Savin,,,,,,,1,,,,,
,SMP,Gouzevitch,1,,,,,,,,,,,
,TOP,Meyers,,1,,,,,,,,,,
,TOP,Mulders,,,,,,1,,,,,,
,BPH,Palla,,,1,,,,,,,,,
,BPH,Chan,,,,,,,,,,1,,
,B2G,Azzi,,,1,,,,,,,,1,
,B2G,Rappoccio,,,,,,,1,,,,,
,HIG,Pieri,,,,,,,1,,,,,
,HIG,Olsen,,,,,,,1,,,,,
,SUS,Ulmer,,,,,,,1,,,,,
,SUS,Wuerthwein,,,,,,,1,,,,,
,EXO,Alcaraz,,,,,,,,,1,,,
,EXO,Chou,,,,,,,1,,,,,
Total 2014,,,2,1,2,0,0,2,8,0,2,1,1,5.60%
2015,FWD,Veres,,,,,,1,,,,,,
,FWD,Ulrich,,1,,,,,,,,,,
,HIN,Nguyen,1,,,,,,,,,,,
,HIN,Lee,,,,,,,1,,,,,
,SMP,Savin,,,,,,,1,,,,,
,SMP,Cossutti,,,1,,,,,,,,,
,TOP,Meyers,,1,,,,,,,,,,
,TOP,Giammanco,,,1,,,,,,,,,
,BPH,Palla,,,1,,,,,,,,,
,BPH,Leonardo,,,,,,,1,,,,,
,B2G,Azzi,,,1,,,,,,,,1,
,B2G,Schmidt,,1,,,,,,,,,,
,HIG,Pieri,,,,,,,1,,,,,
