,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,13,8,36,12,15,37,67,3,43,12,40,16.30%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
2007,EGM,Futyan,,,,1,,,,,1,,,
,EGM,Vanlaer,,,,,,,,,,,,
,JME,Dissertori,,,,,1,,,,,,,
,JME,Varelas,,,,,,,1,,,,,
,PFT,Cavanaugh,,,,,,,1,,,,,
,PFT,Janot,,,,,,1,,,,,,
,MUO,Amapane,,,1,,,,,,,,,
,MUO,Neumeister,,,,,,,1,,,,,
,GEN,Bartalini,,,1,,,,,,,,,
,GEN,Moortgat,,,,,1,,,,,,,
,BTV,Speer,,,,,,,1,,,,,
,BTV,Tomalin,,,,1,,,,,,,,
Total 2007,,,0,0,2,2,3,1,3,0,1,0,0,0.00%
2008,EGM,Seez,,,,1,,,,,,,,
,EGM,Vanlaer,,,,,,,,,1,,,
,JME,Dissertori,,,,,1,,,,,,,
,JME,Elvira,,,,,,,1,,,,,
,PFT,Cavanaugh,,,,,,,1,,,,,
,PFT,Janot,,,,,,1,,,,,,
,MUO,Amapane,,,1,,,,,,,,,
,MUO,Mulders,,,,,,1,,,,,,
,GEN,Bartalini,,,,,,,,,,1,,
,GEN,Chierici,1,,,,,,,,,,,
,BTV,Speer,,,,,,,1,,,,,
,BTV,Boccali,,,1,,,,,,,,,
Total 2008,,,1,0,2,1,2,2,2,0,1,1,0,0.00%
2009,EGM,Seez,,,,1,,,,,,,,
,EGM,Meridiani,,,,,,1,,,,,,
,JME,Elvira,,,,,,,1,,,,,
,JME,Schleper,,1,,,,,,,,,,
,PFT,Bernet,1,,,,,,,,,,,
,PFT,Gennai,,,,,,1,,,,,,
,MUO,Mulders,,,,,,1,,,,,,
,MUO,Bellan,,,,,,1,,,,,,
,GEN,Chierici,1,,,,,,,,,,,
