,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,0,0,3,0,0,7,5,0,4,1,7,35.00%
,,,,,,,,,,,,,,
,,,FRA,GER,ITA,UK,CH,CERN,USA,RDMS,O/CERN,O/non Cern,Women,% Women
,,,,,,,,,,,,,,
2016,Office,Bachtis,,,,,,1,,,,,,
,Office,Klute,,,,,,,1,,,,,
Total 2016,,,0,0,0,0,0,1,1,0,0,0,0,0.00%
2017,Office,Petrucciani,,,,,,1,,,,,,
,Office,Rizzi,,,1,,,,,,,,,
Total 2017,,,0,0,1,0,0,1,0,0,0,0,0,0.00%
2018,Office,Petrucciani,,,,,,1,,,,,,
,Office,Rizzi,,,1,,,,,,,,,
Total 2018,,,0,0,1,0,0,1,0,0,0,0,0,0.00%
2019,Office,Golf,,,,,,,1,,,,,
,Office,Peruzzi,,,,,,1,,,,,,
,Office,Blekman,,,,,,,,,1,,1,
Total 2019,,,0,0,0,0,0,1,1,0,1,0,1,33.30%
2020,Office,Golf,,,,,,,1,,,,,
,Office,Peruzzi,,,,,,1,,,,,,
,Office,Blekman,,,,,,,,,1,,1,
Total 2020,,,0,0,0,0,0,1,1,0,1,0,1,33.30%
2021,Office,d'Alfonso,,,,,,,1,,,,1,
,Office,Gouskos,,,,,,1,,,,,,
,Office,Blekman,,,,,,,,,1,,1,
Total 2021,,,0,0,0,0,0,1,1,0,1,0,2,66.70%
2022,Office,d'Alfonso,,,,,,,1,,,,1,
,Office,Gouskos,,,,,,1,,,,,,
,Office,Gennai,,,1,,,,,,,,,
,Office,Mazumdar,,,,,,,,,,1,1,
,Office,Blekman,,,,,,,,,1,,1,
Total 2022,,,0,0,1,0,0,1,1,0,1,1,3,60.00%
