Last,First,CMSID,YEARS
Acosta,Darin,764,2021.2022
Alison,John,13924,2022
Barberis,Emanuela,4687,2019.2020
Benedetti,Daniele,3806,2013.2014
Berryhill,Jeffery,5796,2012.2013
Bhattacharya,Saptaparna,6813,2022
Bose,Tulika,5616,2015.2018.2019.2017
Burkett,Kevin,4970,2009.2010
Campagnari,Claudio,3639,2008.2009.2016.2017
Cavanaugh,Richard,3438,2007.2008
Cerati,Giuseppe Benedetto,5655,2013.2014
Chou,John Paul,6974,2013.2014
Coubez,Xavier,10595,2020.2021
Covarelli,Roberto,5959,2015.2016
Dasu,Sridhara,806,2008.2009
Demiragli,Zeynep,8448,2022.2018.2019
Dutta,Valentina,7409,2022
Elvira,Daniel,4073,2008.2009
Eno,Sarah,721,2007.2008
Erbacher,Robin,4846,2016.2017
Everaerts,Pieter,6588,2021
Finco,Linda,9481,2021.2022
Fisk,Ian,1051,2010.2012
Florent,Alice,8640,2020.2021
Fris,Evan,6361,2013
Galanti,Mario,4823,2017.2018
Gary,J William,639,2017.2018
Golf,Frank,6681,2019.2020
Gomez-Ceballos,Guillelmo,2639,2015.2016.2021.2022
Gonzalez Suarez,Rebeca,5862,2017.2018
Gray,Lindsey,4730,2014.2015
Grothe,Monika,4457,2007.2008
Halkiadakis,Eva,3950,2012.2013
Harris,Phil,4783,2010.2011
Hill,Christopher,4239,2011
Incandela,Joe,2394,2010.2012
Jain,Shilpi,6747,2020
Jung,Andreas,10478,2021.2022
Hatakeyama,Kenichi,5642,2020.2021
Klima,Boaz,5220,2019.2020.2021.2022
Klute,Markus,5853,2016.2017.2018.2019.2020
Kortelainen,Matti J.,6609,2018
Korytov,Andrei,731,2009.2010
Kousouris,Konstantinos,6307,2011
Kovalskyi,Dnitri,5434,2018.2019
Krintiras,Georgios,11215,2020.2021
Landsberg,Gregory,4754,2012.2009.2010.2019.2020
Lange,David,5320,2014.2015.2016
Leonardo,Nuno,2340,2015
Letts,James,4015,2021.2022
Lujan,Paul,8303,2018.2019
Maeshima,Kaori,1954,2022
Maksimovic,Petar,4586,2020.2021
Maravin,Yuri,5210,2012.2013
McBride,Patricia,4218,2019.2020
McLean,Christine,10179,2022
Musich,Marco,6155,2022
Narain,Meenakshi,5870,2017.2018.2011.2012
Neumeister,Norbert,7,2007
O'Dell,Vivian,2416,2009.2010
Ojalvo,Isobel,8010,2017.2018
Olsen,James,5327,2015.2016.2021.2022.2008.2009.2013.2014
Padhi,Sanjay,6758,2012.2013
Palmer,Christopher,7262,2018
Paus,Christoph ,1513,2011.2012
Pekkanen,Juska,8716,2022
Pieri,Marco,278,2018.2019.2020.2021.2010.2011.2014.2015
Pinna,Deborah,9354,2022
Rakness,Gregory,5353,2014.2016.2017
Rappoccio,Salvatore,6352,2021.2022.2013.2014
Richman,Jeffery,5253,2009.2010
Sani,Matteo,2948,2015.2016
Savin,Alexander,6324,2014.2015.2019.2020.2021.2022.2011.2012
Schmitt,Michael,5277,2010.2011
Sexton Kennedy,Elizabeth,5031,2010.2012.2017
Sharma,Vivek,3191,2010.2011
Shchutska,Lesya,9626,2018.2019
Smith,Geoffrey,8617,2007.2010
Soffi,Livia,8193,2019.2020.2021
Spalding,William J.,5235,2012
Speer,Thomas,3128,2007.2008
Stenson,Kevin,5330,2011.2012
Stuart,David,2440,2011.2012
Taylor,Devin,10077,2020.2021
Tonelli,Louis,6301,2007
Trocino,Daniele,6170,2014.2015
Ulmer,Keith,6450,2014.2015
Valuev,Vyacheslav,3321,2010.2016.2017
Varelas,Nikolas,5510,2008.2009.2007
Velasco,Mayda,5289,2017.2018
Vlimant,Jean-Roch,5590,2021.2022
Wolf,Roger,6006,2020.2021
Wurthwein,Frank,3807,2013.2014
d'Alfonso,Maria,3795,2021.2022
